,link,Proj_name,BHK,Property_type,Area,Area_type,Floor,RERA_status,Property_age,Property_type,Sale_type,Own_type,Furnishing_type,Water_type,Powerbackup,Price
50,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-kwality-vrindavan-heights-hadapsar-pune-1100-sq-ft-spid-S55219040,"Kwality Vrindavan Heights Hadapsar, Pune",2BHK,Residential Apartment,1100 sq.ft.,Super Built-up Area,7th  of 12 Floors,REGISTERED,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,"Municipal corporation,Borewell/Tank",Partial,72 Lac
51,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-magarpatta-city-zinnia-magarpatta-pune-590-sq-ft-spid-X55426364,"Magarpatta City Zinnia Magarpatta, Pune",1BHK,Residential Apartment,590 sq.ft.,Super Built-up Area,4th  of 6 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,"Municipal corporation,Borewell/Tank",Full,53 Lac
52,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-om-shriniwas-venkatesh-classic-hadapsar-pune-800-sq-ft-spid-V55802148,"Om Shriniwas Venkatesh Classic Hadapsar, Pune",2BHK,Residential Apartment,800 sq.ft.,Carpet Area,11st  of 12 Floors,REGISTERED,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,"Municipal corporation,Borewell/Tank",Full,55 Lac
53,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-mantra-fifth-avenue-hadapsar-pune-870-sq-ft-spid-D55568124,"Mantra Fifth Avenue Hadapsar, Pune",2BHK,Residential Apartment,870 sq.ft.,Carpet Area,5th  of 9 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,"Municipal corporation,Borewell/Tank",Full,41 Lac
54,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-on-request-hadapsar-pune-900-sq-ft-spid-S55845338,"on request Hadapsar, Pune",2BHK,Residential Apartment,900 sq.ft.,Built-up Area,2nd  of 5 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Co-operative Society,Unfurnished,"Municipal corporation,Borewell/Tank",Partial,62 Lac
55,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-grand-bay-hadapsar-pune-1020-sq-ft-spid-V55727140,"Grand Bay Hadapsar, Pune",2BHK,Residential Apartment,1020 sq.ft.,Built-up Area,6th  of 12 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Co-operative Society,Semifurnished,"Municipal corporation,Borewell/Tank",Partial,65 Lac
56,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-magarpatta-cosmos-apartment-hadapsar-pune-1050-sq-ft-spid-I55637264,"Magarpatta Cosmos Apartment Hadapsar, Pune",2BHK,Residential Apartment,1050 sq.ft.,Super Built-up Area,9th  of 11 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,Municipal corporation,Full,86 Lac
57,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-magarpatta-city-iris-magarpatta-pune-931-sq-ft-spid-L49001321,"Magarpatta City Iris Magarpatta, Pune",2BHK,Residential Apartment,931 sq.ft.,Super Built-up Area,1st  of 10 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,Municipal corporation,Full,90 Lac
58,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-arihant-venkateshwara-green-city-hadapsar-pune-857-sq-ft-spid-U55534928,"Arihant Venkateshwara Green City Hadapsar, Pune",2BHK,Residential Apartment,857 sq.ft.,Super Built-up Area,2nd  of 11 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,Municipal corporation,Full,45 Lac
59,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-amanora-trendy-homes-hadapsar-pune-1070-sq-ft-spid-M54398900,"Amanora Trendy Homes Hadapsar, Pune",3BHK,Residential Apartment,1070 sq.ft.,Super Built-up Area,11st  of 21 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,Municipal corporation,Full,80 Lac
